#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/oscal
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-20
#curie_map: 
# oscal: https://w3id.org/lmodel/oscal/
# linkml: https://w3id.org/linkml/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
oscal_ssp:InformationType	InformationType	skos:exactMatch		oscal_ssp:InformationType		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_ssp:InformationTypeCategorization	InformationTypeCategorization	skos:exactMatch		oscal_ssp:InformationTypeCategorization		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_ssp:InheritedControlImplementation	InheritedControlImplementation	skos:exactMatch		oscal_ssp:InheritedControlImplementation		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_profile:InsertControls	InsertControls	skos:exactMatch		oscal_profile:InsertControls		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_assessment_plan:InventoryItem	InventoryItem	skos:exactMatch		oscal_assessment_plan:InventoryItem		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:LeveragedAuthorization	LeveragedAuthorization	skos:exactMatch		oscal_ssp:LeveragedAuthorization		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_catalog:Link	Link	skos:exactMatch		oscal_catalog:Link		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:LocalDefinitions	LocalDefinitions	skos:exactMatch		oscal_assessment_plan:LocalDefinitions		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:LocalObjective	LocalObjective	skos:exactMatch		oscal_assessment_plan:LocalObjective		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:Location	Location	skos:exactMatch		oscal_catalog:Location		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:LocationProperty	LocationProperty	skos:exactMatch		oscal_catalog:LocationProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:LoggedBy	LoggedBy	skos:exactMatch		oscal_assessment_plan:LoggedBy		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_mapping:Map	Map	skos:exactMatch		oscal_mapping:Map		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:Mapping	Mapping	skos:exactMatch		oscal_mapping:Mapping		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:MappingCollection	MappingCollection	skos:exactMatch		oscal_mapping:MappingCollection		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:MappingCollectionDocument	MappingCollectionDocument	skos:exactMatch		oscal_mapping:MappingCollectionDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:MappingItem	MappingItem	skos:exactMatch		oscal_mapping:MappingItem		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:MappingProvenance	MappingProvenance	skos:exactMatch		oscal_mapping:MappingProvenance		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_mapping:MappingResourceReference	MappingResourceReference	skos:exactMatch		oscal_mapping:MappingResourceReference		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_profile:MergeCustom	MergeCustom	skos:exactMatch		oscal_profile:MergeCustom		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:MergeFlat	MergeFlat	skos:exactMatch		oscal_profile:MergeFlat		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_catalog:Metadata	Metadata	skos:exactMatch		oscal_catalog:Metadata		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:MetadataPartyExternalId	MetadataPartyExternalId	skos:exactMatch		oscal_catalog:MetadataPartyExternalId		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:MetadataProperty	MetadataProperty	skos:exactMatch		oscal_catalog:MetadataProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:MitigatingFactor	MitigatingFactor	skos:exactMatch		oscal_assessment_plan:MitigatingFactor		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:NetworkArchitecture	NetworkArchitecture	skos:exactMatch		oscal_ssp:NetworkArchitecture		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:ObjectiveStatus	ObjectiveStatus	skos:exactMatch		oscal_assessment_plan:ObjectiveStatus		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:Observation	Observation	skos:exactMatch		oscal_assessment_plan:Observation		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:OnDateCondition	OnDateCondition	skos:exactMatch		oscal_assessment_plan:OnDateCondition		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:Origin	Origin	skos:exactMatch		oscal_assessment_plan:Origin		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:OriginActor	OriginActor	skos:exactMatch		oscal_assessment_plan:OriginActor		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:OscalCommon	OscalCommon	skos:exactMatch		oscal_catalog:OscalCommon		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:OscalDocument	OscalDocument	skos:exactMatch		oscal_catalog:OscalDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:Parameter	Parameter	skos:exactMatch		oscal_catalog:Parameter		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ParameterConstraint	ParameterConstraint	skos:exactMatch		oscal_catalog:ParameterConstraint		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ParameterGuideline	ParameterGuideline	skos:exactMatch		oscal_catalog:ParameterGuideline		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ParameterProperty	ParameterProperty	skos:exactMatch		oscal_catalog:ParameterProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ParameterSelection	ParameterSelection	skos:exactMatch		oscal_catalog:ParameterSelection		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_profile:ParameterSetting	ParameterSetting	skos:exactMatch		oscal_profile:ParameterSetting		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_catalog:Part	Part	skos:exactMatch		oscal_catalog:Part		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:PartProperty	PartProperty	skos:exactMatch		oscal_catalog:PartProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:Party	Party	skos:exactMatch		oscal_catalog:Party		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:PartyExternalId	PartyExternalId	skos:exactMatch		oscal_catalog:PartyExternalId		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:PartyProperty	PartyProperty	skos:exactMatch		oscal_catalog:PartyProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_poam:PlanOfActionAndMilestones	PlanOfActionAndMilestones	skos:exactMatch		oscal_poam:PlanOfActionAndMilestones		skos:exactMatch	https://w3id.org/lmodel/oscal_poam									
oscal_poam:PoamDocument	PoamDocument	skos:exactMatch		oscal_poam:PoamDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_poam									
oscal_poam:PoamItem	PoamItem	skos:exactMatch		oscal_poam:PoamItem		skos:exactMatch	https://w3id.org/lmodel/oscal_poam									
oscal_poam:PoamLocalDefinitions	PoamLocalDefinitions	skos:exactMatch		oscal_poam:PoamLocalDefinitions		skos:exactMatch	https://w3id.org/lmodel/oscal_poam									
oscal_assessment_plan:PortRange	PortRange	skos:exactMatch		oscal_assessment_plan:PortRange		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_profile:Profile	Profile	skos:exactMatch		oscal_profile:Profile		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileAlterationProperty	ProfileAlterationProperty	skos:exactMatch		oscal_profile:ProfileAlterationProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileDocument	ProfileDocument	skos:exactMatch		oscal_profile:ProfileDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileGroup	ProfileGroup	skos:exactMatch		oscal_profile:ProfileGroup		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileImport	ProfileImport	skos:exactMatch		oscal_profile:ProfileImport		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileMerge	ProfileMerge	skos:exactMatch		oscal_profile:ProfileMerge		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_profile:ProfileModify	ProfileModify	skos:exactMatch		oscal_profile:ProfileModify		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_catalog:Property	Property	skos:exactMatch		oscal_catalog:Property		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:Protocol	Protocol	skos:exactMatch		oscal_assessment_plan:Protocol		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:ProvidedControlImplementation	ProvidedControlImplementation	skos:exactMatch		oscal_ssp:ProvidedControlImplementation		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_mapping:QualifierItem	QualifierItem	skos:exactMatch		oscal_mapping:QualifierItem		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_poam:RelatedFinding	RelatedFinding	skos:exactMatch		oscal_poam:RelatedFinding		skos:exactMatch	https://w3id.org/lmodel/oscal_poam									
oscal_assessment_plan:RelatedObservation	RelatedObservation	skos:exactMatch		oscal_assessment_plan:RelatedObservation		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:RelatedTask	RelatedTask	skos:exactMatch		oscal_assessment_plan:RelatedTask		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:RelevantEvidence	RelevantEvidence	skos:exactMatch		oscal_assessment_plan:RelevantEvidence		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_profile:Removal	Removal	skos:exactMatch		oscal_profile:Removal		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_assessment_plan:RequiredAsset	RequiredAsset	skos:exactMatch		oscal_assessment_plan:RequiredAsset		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:Resource	Resource	skos:exactMatch		oscal_catalog:Resource		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ResourceLink	ResourceLink	skos:exactMatch		oscal_catalog:ResourceLink		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:ResourceProperty	ResourceProperty	skos:exactMatch		oscal_catalog:ResourceProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:Response	Response	skos:exactMatch		oscal_assessment_plan:Response		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:ResponsibleParty	ResponsibleParty	skos:exactMatch		oscal_catalog:ResponsibleParty		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
